title,location,price,bedrooms,bathrooms,agency,link,desc
5 Bed Townhouse with En Suite in Thika Road,Thika Road,"180,000",5,5,asturian-properties,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-thika-road-3830480,5 Bed Townhouse with En Suite in Thika Road
5 Bed Townhouse with En Suite in Lavington,Lavington,"350,000",5,5,asturian-properties,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830487,5 Bed Townhouse with En Suite in Lavington
6 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands","450,000",6,6,asturian-properties,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-rent-kitisuru-3830491,6 Bed Townhouse with En Suite in Kitisuru
4 Bed House with En Suite in Tigoni,"Tigoni, Limuru","250,000",4,3,sadiamond-properties-ltd,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-tigoni-3830522,4 Bed House with En Suite in Tigoni
5 Bed Townhouse with En Suite in Lavington,Lavington,"275,000",5,5,pam-golding-properties,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830521,5 Bed Townhouse with En Suite in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands","100,000",4,nan,scoreline-consult,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3827480,4 Bed House with En Suite in Runda
2 Bed House with En Suite in Kyuna,"Kyuna, Westlands","142,000",2,2,pam-golding-properties,https://www.buyrentkenya.com/listings/furnished-2-bedroom-house-for-rent-kyuna-3830520,2 Bed House with En Suite in Kyuna
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands","516,208",4,4,pam-golding-properties,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kitisuru-3830518,4 Bed Townhouse with En Suite in Kitisuru
5 Bed Townhouse with En Suite at Off Waiyaki Way,"Off Waiyaki Way, Lavington","400,000",5,6,simkar-group-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830208,5 Bed Townhouse with En Suite at Off Waiyaki Way
3 Bed House with En Suite at Parklands,"0726n, parklands, Parklands, Westlands","140,000",3,3,ace-realtors-limited,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-parklands-3830508,3 Bed House with En Suite at Parklands
5 Bed House with En Suite at Lavington,"0726n, lavington, Lavington","350,000",5,5,ace-realtors-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3830506,5 Bed House with En Suite at Lavington
5 Bed House with En Suite at Lavington,"0726n, lavington, Lavington","400,000",5,5,ace-realtors-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3830499,5 Bed House with En Suite at Lavington
