title,location,price,bedrooms,bathrooms,agency,link,desc
4 Bed House with En Suite at Meadows,"62, Meadows, Kiambu Road","220,000",4,4,nairobi-royal-homes,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kiambu-road-2-3712967,4 Bed House with En Suite at Meadows
4 Bed House with En Suite at Hidden Creek,"51, Hidden creek, Kiambu Road","230,000",4,4,nairobi-royal-homes,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kiambu-road-2-3712962,4 Bed House with En Suite at Hidden Creek
5 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands","650,000",5,6,fit-property,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-lower-kabete-2-3644041,5 Bed Villa with En Suite in Lower Kabete
4 Bed Townhouse with En Suite at Nyali,"Nyali, Nyali Area","90,000",4,4,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-nyali-area-3712411,4 Bed Townhouse with En Suite at Nyali
1 Bed House with Garden in Runda,"Runda, Westlands","128,773",1,1,pam-golding-properties,https://www.buyrentkenya.com/listings/1-bedroom-house-for-rent-runda-3712244,1 Bed House with Garden in Runda
7 Bed House with En Suite at Nyali,"Nyali, Nyali Area","270,000",7,7,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/furnished-7-bedroom-house-for-rent-nyali-area-3712059,7 Bed House with En Suite at Nyali
5 Bed House with Staff Quarters in Rosslyn,"Rosslyn, Westlands","450,000",5,5,great-five-consultants,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-rosslyn-3711317,5 Bed House with Staff Quarters in Rosslyn
5 Bed Townhouse with En Suite in Karen Hardy,Karen Hardy,"500,000",5,6,kiri-homes,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-karen-hardy-3711228,5 Bed Townhouse with En Suite in Karen Hardy
5 Bed Villa with En Suite in Runda,"Runda, Westlands","455,000",5,5,dakima-home-international,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-runda-3710670,5 Bed Villa with En Suite in Runda
4 Bed Townhouse with En Suite at Utange,"Utange, Bamburi","50,000",4,5,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-bamburi-3710181,4 Bed Townhouse with En Suite at Utange
3 Bed Townhouse with En Suite at Mtwapa,Mtwapa,"50,000",3,3,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-rent-mtwapa-3710177,3 Bed Townhouse with En Suite at Mtwapa
5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands","1,200",5,7,kiri-homes,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-kitisuru-3709795,5 Bed Townhouse with En Suite in Kitisuru
3 Bed Villa with En Suite at Creekside Mtwapa,"Aloo drive residence, Creekside Mtwapa, Mtwapa","25,000",3,3,sky-miles-properties,https://www.buyrentkenya.com/listings/furnished-3-bedroom-villa-for-rent-mtwapa-3709495,3 Bed Villa with En Suite at Creekside Mtwapa
5 Bed Townhouse with En Suite in Karen,Karen,"550,000",5,6,kiri-homes,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-karen-3691865,5 Bed Townhouse with En Suite in Karen
5 Bed Townhouse with En Suite in Nyari,"Nyari, Westlands","600,000",5,6,kiri-homes,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-nyari-3707528,5 Bed Townhouse with En Suite in Nyari
3 Bed House with En Suite in Runda,"Runda, Westlands","170,000",3,3,kiri-homes,https://www.buyrentkenya.com/listings/furnished-3-bedroom-house-for-rent-runda-3708864,3 Bed House with En Suite in Runda
5 Bed Villa with En Suite at Nyali Mombasa,"Nyali Mombasa, Nyali Area, Nyali","300,000",5,6,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-nyali-area-3708985,5 Bed Villa with En Suite at Nyali Mombasa
4 Bed Villa with En Suite at Nyali,"Nyali0, Nyali, Nyali Area","110,000",4,3,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-nyali-area-3708705,4 Bed Villa with En Suite at Nyali
10 Bed House with En Suite at Nyali Mombasa,"Nyali Mombasa, Nyali Area, Nyali","230,000",10,10,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/10-bedroom-house-for-rent-nyali-area-3708291,10 Bed House with En Suite at Nyali Mombasa
4 Bed Villa with En Suite at Bamburi,Bamburi,"70,000",4,4,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-bamburi-3708286,4 Bed Villa with En Suite at Bamburi
4 Bed Villa with En Suite at Nyali,"Nyali, Nyali Area","110,000",4,3,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-nyali-area-3708185,4 Bed Villa with En Suite at Nyali
4 Bed House with En Suite in Lavington,Lavington,"200,000",4,4,keensell-ventures,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3707937,4 Bed House with En Suite in Lavington
